Page,Clicks,Impressions,CTR,Position,,,,,Page,Clicks
https://docs.python.org/pt-br/3/library/tkinter.messagebox.html,20,48,41.67%,2.06,,library/tkinter.messagebox.html,20,,library/platform.html,20
https://docs.python.org/3/extending/extending.html,20,47,42.55%,1.26,,#VALUE!,20,,library/plistlib.html,2
https://docs.python.org/pt-br/3/library/fnmatch.html,20,36,55.56%,1.08,,library/fnmatch.html,20,,library/plistlib.html,1
https://docs.python.org/3/library/types.html,20,36,55.56%,2.17,,library/types.html,20,,library/plistlib.html,1
https://docs.python.org/3/library/text.html,20,35,57.14%,2.2,,library/text.html,20,,library/poplib.html,1
https://docs.python.org/3/library/platform.html,20,31,64.52%,1,,library/platform.html,20,,library/posix.html,9
https://docs.python.org/pt-br/3.6/c-api/dict.html,19,318,5.97%,4.59,,#VALUE!,19,,library/posix.html,1
https://docs.python.org/pt-br/3.7/c-api/bytearray.html,19,48,39.58%,2.73,,#VALUE!,19,,library/posix.html,1
https://docs.python.org/3/library/tracemalloc.html,19,46,41.30%,2.33,,library/tracemalloc.html,19,,library/pprint.html,406
https://docs.python.org/pt-br/3/library/tkinter.font.html,19,32,59.38%,1.75,,library/tkinter.font.html,19,,library/profile.html,91
https://docs.python.org/pt-br/3/library/filesys.html,18,41,43.90%,4.66,,library/filesys.html,18,,library/pty.html,4
https://docs.python.org/3/faq/windows.html,18,40,45.00%,4,,#VALUE!,18,,library/pwd.html,5
https://docs.python.org/3/library/debug.html,17,48,35.42%,2.21,,library/debug.html,17,,library/pwd.html,4
https://docs.python.org/pt-br/3.8/c-api/bytes.html,17,44,38.64%,2.52,,#VALUE!,17,,library/py_compile.html,28
https://docs.python.org/3/library/socketserver.html,17,29,58.62%,1.07,,library/socketserver.html,17,,library/py_compile.html,28
https://docs.python.org/3/extending/embedding.html,17,25,68.00%,1.28,,#VALUE!,17,,library/pydoc.html,55
https://docs.python.org/3/distutils/configfile.html,17,24,70.83%,1,,#VALUE!,17,,library/pydoc.html,46
https://docs.python.org/3/library/shlex.html,17,24,70.83%,1,,library/shlex.html,17,,library/python.html,1
https://docs.python.org/3/library/asyncio-dev.html,16,52,30.77%,1.15,,library/asyncio-dev.html,16,,library/python.html,1
https://docs.python.org/pt-br/3/library/asyncio-task.html,15,55,27.27%,1.96,,library/asyncio-task.html,15,,library/queue.html,362
https://docs.python.org/pt-br/3/library/graphlib.html,15,48,31.25%,4.96,,library/graphlib.html,15,,library/quopri.html,3
https://docs.python.org/3/library/shelve.html,15,31,48.39%,2,,library/shelve.html,15,,library/random.html,4395
https://docs.python.org/3/library/hmac.html,15,23,65.22%,1.35,,library/hmac.html,15,,library/random.html,1023
https://docs.python.org/pt-br/3/library/xmlrpc.server.html,15,21,71.43%,1,,library/xmlrpc.server.html,15,,library/random.html,27
https://docs.python.org/pt-br/3.7/library/datetime.html,14,152,9.21%,2.66,,library/datetime.html,14,,library/random.html,4
https://docs.python.org/2.5/lib/string-methods.html,14,75,18.67%,2.29,,#VALUE!,14,,library/random.html,3
https://docs.python.org/pt-br/3/library/glob.html,14,68,20.59%,2,,library/glob.html,14,,library/random.html,1
https://docs.python.org/pt-br/3.8/library/locale.html,14,40,35.00%,1.88,,library/locale.html,14,,library/random.html,1
https://docs.python.org/pt-br/3/library/getopt.html,14,37,37.84%,2.24,,library/getopt.html,14,,library/re.html,2803
https://docs.python.org/pt-br/3/library/builtins.html,14,27,51.85%,1.48,,library/builtins.html,14,,library/re.html,396
https://docs.python.org/pt-br/3/library/2to3.html,14,25,56.00%,1.68,,library/2to3.html,14,,library/readline.html,25
https://docs.python.org/pt-br/3/index.html,13,99,13.13%,1,,#VALUE!,13,,library/resource.html,1
https://docs.python.org/pt-br/dev/library/unittest.html,13,75,17.33%,2.19,,library/unittest.html,13,,library/runpy.html,5
https://docs.python.org/2.7/library/urllib2.html,13,71,18.31%,2.04,,library/urllib2.html,13,,library/runpy.html,1
https://docs.python.org/pt-br/3/library/datatypes.html,13,52,25.00%,5.88,,library/datatypes.html,13,,library/sched.html,29
https://docs.python.org/3/library/constants.html,13,44,29.55%,5.07,,library/constants.html,13,,library/secrets.html,48
https://docs.python.org/pt-br/3/using/mac.html,13,41,31.71%,2.49,,#VALUE!,13,,library/secrets.html,3
https://docs.python.org/pt-br/3/library/urllib.parse.html,13,37,35.14%,2,,library/urllib.parse.html,13,,library/select.html,32
https://docs.python.org/3/library/asyncio-subprocess.html,13,36,36.11%,1.5,,library/asyncio-subprocess.html,13,,library/selectors.html,4
https://docs.python.org/3/reference/lexical_analysis.html,13,34,38.24%,3.5,,#VALUE!,13,,library/shelve.html,15
https://docs.python.org/pt-br/3.8/tutorial/errors.html,13,31,41.94%,2.48,,#VALUE!,13,,library/shlex.html,17
https://docs.python.org/pt-br/3.7/faq/gui.html,13,24,54.17%,2.04,,#VALUE!,13,,library/shutil.html,419
https://docs.python.org/3/library/asyncio-queue.html,13,15,86.67%,1,,library/asyncio-queue.html,13,,library/shutil.html,63
